"","province","num_jurisdictions","useful","not_useful"
"1","Alberta",18,8,10
"2","British Columbia",26,10,16
"3","Manitoba",16,1,15
"4","New Brunswick",15,1,14
"5","Newfoundland and Labrador",8,1,7
"6","Nova Scotia",14,1,13
"7","Nunavut",1,0,1
"8","Ontario",51,16,35
"9","Prince Edward Island",3,0,3
"10","Quebec",94,14,80
"11","Saskatchewan",18,2,16
